condition,clip,region,mean_score,p90_score,peak_score,risk_bin,n_frames
alphapose_motionbert,MansoryBrickLaying_00,trunk,1.8543922984356198,3.0,4,High,1662
alphapose_motionbert,MansoryBrickLaying_00,upper_arm,1.7448856799037304,3.0,5,High,1662
alphapose_motionbert,MansoryBrickLaying_00,lower_arm,1.796028880866426,2.0,2,High,1662
alphapose_motionbert,MansoryBrickLaying_00,leg,1.2809867629362215,2.0,3,Medium,1662
alphapose_motionbert,MansoryBrickLaying_01,trunk,1.9362591431556948,3.0,5,High,3828
alphapose_motionbert,MansoryBrickLaying_01,upper_arm,2.287095088819227,5.0,5,High,3828
alphapose_motionbert,MansoryBrickLaying_01,lower_arm,1.6256530825496343,2.0,2,High,3828
alphapose_motionbert,MansoryBrickLaying_01,leg,1.350835945663532,2.0,4,Medium,3828
alphapose_motionbert,MansoryBrickLaying_02,trunk,1.9418492490009647,3.0,5,High,7257
alphapose_motionbert,MansoryBrickLaying_02,upper_arm,1.8139727159983465,3.0,5,High,7257
alphapose_motionbert,MansoryBrickLaying_02,lower_arm,1.698222405952873,2.0,2,High,7257
alphapose_motionbert,MansoryBrickLaying_02,leg,1.5069587984015433,3.0,4,High,7257
alphapose_motionbert,MansoryCement_02,trunk,1.9974569640062598,3.0,4,High,5112
alphapose_motionbert,MansoryCement_02,upper_arm,1.4002347417840375,2.0,4,Medium,5112
alphapose_motionbert,MansoryCement_02,lower_arm,1.819053208137715,2.0,2,High,5112
alphapose_motionbert,MansoryCement_02,leg,1.7357198748043818,3.0,4,High,5112
alphapose_motionbert,RebarPlacement_00,trunk,2.7020451339915375,4.0,5,High,8508
alphapose_motionbert,RebarPlacement_00,upper_arm,2.258110014104372,3.0,5,High,8508
alphapose_motionbert,RebarPlacement_00,lower_arm,1.7896097790314998,2.0,2,High,8508
alphapose_motionbert,RebarPlacement_00,leg,2.6323460272684533,4.0,4,High,8508
alphapose_motionbert,RebarTying_01,trunk,3.1954090641553856,4.0,4,High,1699
alphapose_motionbert,RebarTying_01,upper_arm,2.3725721012360212,3.0,5,High,1699
alphapose_motionbert,RebarTying_01,lower_arm,1.7062978222483813,2.0,2,High,1699
alphapose_motionbert,RebarTying_01,leg,3.7934078869923487,4.0,4,High,1699
alphapose_motionbert,RebarTying_02,trunk,2.8873826903023985,4.0,4,High,1918
alphapose_motionbert,RebarTying_02,upper_arm,1.1652763295099062,2.0,2,Medium,1918
alphapose_motionbert,RebarTying_02,lower_arm,1.6261730969760166,2.0,2,High,1918
alphapose_motionbert,RebarTying_02,leg,4.0,4.0,4,High,1918
alphapose_motionbert,WallPlacement_00,trunk,2.299229085371657,4.0,5,High,10507
alphapose_motionbert,WallPlacement_00,upper_arm,1.7697725325973162,3.0,5,High,10507
alphapose_motionbert,WallPlacement_00,lower_arm,1.792804796802132,2.0,2,High,10507
alphapose_motionbert,WallPlacement_00,leg,2.504711144950985,4.0,4,High,10507
sam3db,MansoryBrickLaying_00,trunk,2.278580024067389,3.0,5,High,1662
sam3db,MansoryBrickLaying_00,upper_arm,1.8200962695547533,3.0,3,High,1662
sam3db,MansoryBrickLaying_00,lower_arm,1.802647412755716,2.0,2,High,1662
sam3db,MansoryBrickLaying_00,leg,1.4554753309265944,2.0,4,Medium,1662
sam3db,MansoryBrickLaying_01,trunk,2.128004179728318,3.0,5,High,3828
sam3db,MansoryBrickLaying_01,upper_arm,2.1494252873563218,3.0,5,High,3828
sam3db,MansoryBrickLaying_01,lower_arm,1.6290491118077326,2.0,2,High,3828
sam3db,MansoryBrickLaying_01,leg,1.6065830721003134,3.0,4,High,3828
sam3db,MansoryBrickLaying_02,trunk,2.0796472371503376,3.0,5,High,7257
sam3db,MansoryBrickLaying_02,upper_arm,1.8765330026181617,3.0,5,High,7257
sam3db,MansoryBrickLaying_02,lower_arm,1.688576546782417,2.0,2,High,7257
sam3db,MansoryBrickLaying_02,leg,1.3807358412567177,2.0,4,Medium,7257
sam3db,MansoryCement_02,trunk,2.351007630600665,3.0,4,High,5111
sam3db,MansoryCement_02,upper_arm,1.5805126198395618,2.0,3,Medium,5111
sam3db,MansoryCement_02,lower_arm,1.7990608491488946,2.0,2,High,5111
sam3db,MansoryCement_02,leg,1.594991195460771,4.0,4,High,5111
sam3db,RebarPlacement_00,trunk,2.644452280206864,4.0,5,High,8508
sam3db,RebarPlacement_00,upper_arm,2.2034555712270802,3.0,5,High,8508
sam3db,RebarPlacement_00,lower_arm,1.7905500705218618,2.0,2,High,8508
sam3db,RebarPlacement_00,leg,2.449576868829337,4.0,4,High,8508
sam3db,RebarTying_01,trunk,2.984696880517952,3.0,4,High,1699
sam3db,RebarTying_01,upper_arm,2.9234844025897586,5.0,5,High,1699
sam3db,RebarTying_01,lower_arm,1.5214832254267217,2.0,2,High,1699
sam3db,RebarTying_01,leg,3.6951147733961154,4.0,4,High,1699
sam3db,RebarTying_02,trunk,2.983315954118874,3.0,4,High,1918
sam3db,RebarTying_02,upper_arm,2.4687174139728882,3.0,3,High,1918
sam3db,RebarTying_02,lower_arm,1.6652763295099062,2.0,2,High,1918
sam3db,RebarTying_02,leg,3.9984358706986445,4.0,4,High,1918
sam3db,WallPlacement_00,trunk,2.5353573807937564,3.0,5,High,10507
sam3db,WallPlacement_00,upper_arm,2.4129627867136194,3.0,5,High,10507
sam3db,WallPlacement_00,lower_arm,1.7336061673170267,2.0,2,High,10507
sam3db,WallPlacement_00,leg,2.660797563529076,4.0,4,High,10507
