sequence,frame_number,frame_path,yolo_status,fallback_status,output_available,donor_frame_number,frame_distance,fallback_bbox_x1,fallback_bbox_y1,fallback_bbox_x2,fallback_bbox_y2,seconds,prediction_path,manual_severity,manual_source,failure_mode,error
MansoryBrickLaying_01,928,<private_workspace>/data/MansoryBrickLaying_01/00928.jpg,no_person_detected,recovered,yes,780,148,549.65,23.26,640.70,374.79,23.451,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/MansoryBrickLaying_01__f00928.npz,severe_or_full,self,detection_failure_under_occlusion,
MansoryBrickLaying_02,4114,<private_workspace>/data/MansoryBrickLaying_02/04114.jpg,no_person_detected,recovered,yes,3353,761,598.46,192.76,758.62,615.26,24.070,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/MansoryBrickLaying_02__f04114.npz,severe_or_full,object,detection_failure_under_occlusion,
MansoryBrickLaying_02,4571,<private_workspace>/data/MansoryBrickLaying_02/04571.jpg,no_person_detected,recovered,yes,5026,455,481.14,49.17,625.98,381.66,25.575,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/MansoryBrickLaying_02__f04571.npz,severe_or_full,object,detection_failure_under_occlusion,
MansoryBrickLaying_02,6545,<private_workspace>/data/MansoryBrickLaying_02/06545.jpg,no_person_detected,recovered,yes,6851,306,479.39,32.97,605.68,389.16,26.014,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/MansoryBrickLaying_02__f06545.npz,severe_or_full,object,detection_failure_under_occlusion,
RebarPlacement_00,1057,<private_workspace>/data/RebarPlacement_00/01057.jpg,no_person_detected,recovered,yes,1412,355,480.43,165.50,607.78,521.76,26.570,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarPlacement_00__f01057.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarPlacement_00,1271,<private_workspace>/data/RebarPlacement_00/01271.jpg,no_person_detected,recovered,yes,1412,141,480.43,165.50,607.78,521.76,26.344,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarPlacement_00__f01271.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarPlacement_00,4700,<private_workspace>/data/RebarPlacement_00/04700.jpg,no_person_detected,recovered,yes,4573,127,495.97,189.51,645.19,506.00,26.301,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarPlacement_00__f04700.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,210,<private_workspace>/data/RebarTying_01/00210.jpg,no_person_detected,recovered,yes,284,74,499.21,244.50,680.62,577.97,26.185,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00210.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,222,<private_workspace>/data/RebarTying_01/00222.jpg,no_person_detected,recovered,yes,284,62,499.21,244.50,680.62,577.97,26.214,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00222.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,235,<private_workspace>/data/RebarTying_01/00235.jpg,no_person_detected,recovered,yes,284,49,499.21,244.50,680.62,577.97,26.121,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00235.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,248,<private_workspace>/data/RebarTying_01/00248.jpg,no_person_detected,recovered,yes,284,36,499.21,244.50,680.62,577.97,26.064,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00248.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,260,<private_workspace>/data/RebarTying_01/00260.jpg,no_person_detected,recovered,yes,284,24,499.21,244.50,680.62,577.97,25.756,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00260.npz,severe_or_full,self,detection_failure_under_occlusion,
RebarTying_01,694,<private_workspace>/data/RebarTying_01/00694.jpg,no_person_detected,recovered,yes,684,10,240.94,415.88,461.89,619.14,26.103,<private_workspace>/m1/outputs/predictions/field_temporal_bbox_fallback/RebarTying_01__f00694.npz,severe_or_full,self,detection_failure_under_occlusion,
