rep_frame,rep_time_sec
307,10.233333333333333
447,14.9
613,20.433333333333334
792,26.4
935,31.166666666666668
1076,35.86666666666667
1269,42.3
1541,51.36666666666667
1696,56.53333333333333
1836,61.2
1975,65.83333333333333
2286,76.2
2460,82.0
2645,88.16666666666667
2788,92.93333333333334
2928,97.6
3239,107.96666666666667
3455,115.16666666666667
3626,120.86666666666666
3975,132.5
4134,137.8
4490,149.66666666666666
4886,162.86666666666667
5397,179.9
6102,203.4
6762,225.4
